1	1	0.5	0.7	0.05	0.02
1	1.2	0.7	0.85	0.25	0.04
1	1.4	0.9	0.75	0.2	0.06
1	1.6	0.6	0.9	0.15	0.08
1	1.8	0.8	0.8	0.1	0.1
1.5	1	0.9	0.85	0.15	0.1
1.5	1.2	0.6	0.75	0.1	0.02
1.5	1.4	0.8	0.9	0.05	0.04
1.5	1.6	0.5	0.8	0.25	0.06
1.5	1.8	0.7	0.7	0.2	0.08
2	1	0.8	0.75	0.25	0.08
2	1.2	0.5	0.9	0.2	0.1
2	1.4	0.7	0.8	0.15	0.02
2	1.6	0.9	0.7	0.1	0.04
2	1.8	0.6	0.85	0.05	0.06
2.5	1	0.7	0.9	0.1	0.06
2.5	1.2	0.9	0.8	0.05	0.08
2.5	1.4	0.6	0.7	0.25	0.1
2.5	1.6	0.8	0.85	0.2	0.02
2.5	1.8	0.5	0.75	0.15	0.04
3	1	0.6	0.8	0.2	0.04
3	1.2	0.8	0.7	0.15	0.06
3	1.4	0.5	0.85	0.1	0.08
3	1.6	0.7	0.75	0.05	0.1
3	1.8	0.9	0.9	0.25	0.02
