1.00 	2.00 	0.70 	0.70 	0.01 	0.01 
1.00 	2.50 	0.80 	0.85 	0.09 	0.03 
1.00 	3.00 	0.90 	0.75 	0.07 	0.05 
1.00 	3.50 	0.75 	0.90 	0.05 	0.07 
1.00 	4.00 	0.85 	0.80 	0.03 	0.09 
1.50 	2.00 	0.90 	0.85 	0.05 	0.09 
1.50 	2.50 	0.75 	0.75 	0.03 	0.01 
1.50 	3.00 	0.85 	0.90 	0.01 	0.03 
1.50 	3.50 	0.70 	0.80 	0.09 	0.05 
1.50 	4.00 	0.80 	0.70 	0.07 	0.07 
2.00 	2.00 	0.85 	0.75 	0.09 	0.07 
2.00 	2.50 	0.70 	0.90 	0.07 	0.09 
2.00 	3.00 	0.80 	0.80 	0.05 	0.01 
2.00 	3.50 	0.90 	0.70 	0.03 	0.03 
2.00 	4.00 	0.75 	0.85 	0.01 	0.05 
2.50 	2.00 	0.80 	0.90 	0.03 	0.05 
2.50 	2.50 	0.90 	0.80 	0.01 	0.07 
2.50 	3.00 	0.75 	0.70 	0.09 	0.09 
2.50 	3.50 	0.85 	0.85 	0.07 	0.01 
2.50 	4.00 	0.70 	0.75 	0.05 	0.03 
3.00 	2.00 	0.75 	0.80 	0.07 	0.03 
3.00 	2.50 	0.85 	0.70 	0.05 	0.05 
3.00 	3.00 	0.70 	0.85 	0.03 	0.07 
3.00 	3.50 	0.80 	0.75 	0.01 	0.09 
3.00 	4.00 	0.90 	0.90 	0.09 	0.01 
